Country or area,Subregion,Region,Internet users,Population
Solomon Islands,Melanesia,Oceania,72872,652857
Saint Vincent and the Grenadines,Caribbean,Americas,72048,110211
Vanuatu,Melanesia,Oceania,7105,29268
Comoros,Eastern Africa,Africa,6902,832322
U.S. Virgin Islands,Caribbean,Americas,67535,10468
Eritrea,Eastern Africa,Africa,66402,3452786
Samoa,Polynesia,Oceania,66023,196129
Grenada,Caribbean,Americas,63692,111454
São Tomé and Príncipe,Middle Africa,Africa,61155,211028
Bermuda,Northern America,Americas,60349,62756
Seychelles,Eastern Africa,Africa,55677,97096
Dominica,Caribbean,Americas,51467,71625
Cayman Islands,Caribbean,Americas,49906,64174
Faroe Islands,Northern Europe,Europe,48097,48497
Saint Kitts and Nevis,Caribbean,Americas,44669,52441
Tonga,Polynesia,Oceania,44558,103197
Greenland,Northern America,Americas,39242,56564
Jersey,Northern Europe,Europe,38958,54214
Monaco,Western Europe,Europe,37553,38682
Micronesia,Micronesia,Oceania,37257,11264
Liechtenstein,Western Europe,Europe,37201,3791
Gibraltar,Southern Europe,Europe,32494,33718
Marshall Islands,Micronesia,Oceania,2056,58413
San Marino,Southern Europe,Europe,201,33785
Kiribati,Micronesia,Oceania,16971,115847
British Virgin Islands,Caribbean,Americas,14456,29802
Anguilla,Caribbean,Americas,12043,14731
Nauru,Micronesia,Oceania,6475,1067
Tuvalu,Polynesia,Oceania,552,11508
Saint Helena Ascension and Tristan da Cunha,Western Africa,Africa,2906,6035
Falkland Islands,South America,Americas,2881,3234
Montserrat,Caribbean,Americas,2833,4993
Wallis and Futuna,Polynesia,Oceania,1383,11661
Niue,Polynesia,Oceania,1034,162
